date,time,day,hour,is_holiday,is_weekend,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10
07/01/26,10:23:51,Wednesday,10,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,10:39:03,Wednesday,10,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,10:54:14,Wednesday,10,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,11:09:27,Wednesday,11,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,11:24:38,Wednesday,11,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,11:39:51,Wednesday,11,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,11:55:02,Wednesday,11,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,12:10:16,Wednesday,12,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,12:25:27,Wednesday,12,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,12:40:38,Wednesday,12,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,12:55:50,Wednesday,12,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,13:11:02,Wednesday,13,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,13:26:15,Wednesday,13,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,13:41:26,Wednesday,13,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,13:56:37,Wednesday,13,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,14:11:50,Wednesday,14,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,14:27:02,Wednesday,14,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,14:42:13,Wednesday,14,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,14:57:25,Wednesday,14,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,15:12:38,Wednesday,15,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,15:27:49,Wednesday,15,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,15:43:00,Wednesday,15,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,15:58:11,Wednesday,15,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,16:13:24,Wednesday,16,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,16:28:36,Wednesday,16,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,16:43:47,Wednesday,16,0,0,1,1,1,1,1,1,1,1,1,1
07/01/26,16:58:58,Wednesday,16,0,0,1,1,3,1,1,1,1,1,1,1
07/01/26,17:14:11,Wednesday,17,0,0,1,3,1,1,1,1,3,1,1,1
07/01/26,17:29:23,Wednesday,17,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,17:44:34,Wednesday,17,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,17:59:45,Wednesday,17,0,0,1,3,1,1,1,1,1,1,1,1
07/01/26,18:14:56,Wednesday,18,0,0,1,3,1,1,1,1,3,1,1,1
07/01/26,18:30:08,Wednesday,18,0,0,1,3,1,1,1,1,3,1,1,1
07/01/26,18:45:19,Wednesday,18,0,0,1,3,1,1,1,1,3,1,1,1
07/01/26,19:00:30,Wednesday,19,0,0,1,3,1,1,1,1,1,4,1,1
